"","sample","log_conc_truesoil","acronym"
"264",723,9.02672525397625,"16S"
"265",717,8.89512959666597,"16S"
"266",714,9.09669340413254,"16S"
"267",721,8.05571955601251,"16S"
"268",730,8.87681796138945,"16S"
"269",638,8.07655835430681,"16S"
"270",728,9.37922515395318,"16S"
"271",610,9.36052607466096,"16S"
"272",701,8.78899557776142,"16S"
"273",653,9.64086037712441,"16S"
"274",622,9.36352058943751,"16S"
"275",343,9.42244089510746,"16S"
"276",640,9.42388257108084,"16S"
"277",521,9.15963152642531,"16S"
"278",214,8.70893298361005,"16S"
"279",525,8.48374261775073,"16S"
"280",242,9.13379399854536,"16S"
"281",249,8.50123389851381,"16S"
"282",747,9.49532725198836,"16S"
"283",620,9.33491970931929,"16S"
"284",238,8.14790158372041,"16S"
"285",234,9.32672642051381,"16S"
"286",608,9.17298825137827,"16S"
"287",421,8.69042943783181,"16S"
"288",241,9.17435974784969,"16S"
"289",353,7.44735189223511,"16S"
"290",340,9.12760414317651,"16S"
"291",347,9.63986076632396,"16S"
"292",440,8.91079498209529,"16S"
"293",547,9.52396732334441,"16S"
"294",419,8.93317031281919,"16S"
"295",352,9.39294469648246,"16S"
"296",501,8.92227787066647,"16S"
"297",508,8.46827916747695,"16S"
"298",320,8.42695711354536,"16S"
"299",654,9.58270495758681,"16S"
"300",235,8.81176886451907,"16S"
"301",506,8.76948684960434,"16S"
"302",738,9.01182612030342,"16S"
"303",609,9.33929661414656,"16S"
"304",616,9.60616160671659,"16S"
"305",554,9.49930716011502,"16S"
"306",445,8.91192184109336,"16S"
"307",329,9.36358407451146,"16S"
"308",336,8.89190884130476,"16S"
"309",615,9.41864642953431,"16S"
"310",346,9.45654192958359,"16S"
"311",333,9.08953668631177,"16S"
"312",231,7.72289890582041,"16S"
"313",504,9.07681198258186,"16S"
"314",623,9.37828919388076,"16S"
"315",444,9.20817171475266,"16S"
"316",502,8.83158212636997,"16S"
"317",354,9.40893103099882,"16S"
"318",414,8.76659733548281,"16S"
"319",702,8.86349237066165,"16S"
"320",727,8.88044031324844,"16S"
"321",345,9.57025522724567,"16S"
"322",313,9.12868024794597,"16S"
"323",624,9.20102161749871,"16S"
"324",710,9.46613586638729,"16S"
"325",602,9.33704528971091,"16S"
"326",748,9.527440749796,"16S"
"327",737,9.10220460446713,"16S"
"328",606,9.27252862574911,"16S"
"329",603,9.27862834730931,"16S"
"330",407,9.17609617570889,"16S"
"331",755,9.80912949369987,"16S"
"332",338,9.07482122633042,"16S"
"333",454,9.07416248404201,"16S"
"334",256,7.56387292972441,"16S"
"335",447,8.99435921507281,"16S"
"336",308,8.44910398901907,"Arch_16S"
"337",403,8.49468310328791,"Arch_16S"
"338",410,7.589248015568,"Arch_16S"
"339",417,8.26949190328791,"Arch_16S"
"340",424,7.59432754109727,"Arch_16S"
