sample,timepoint,treatment,location,block,log_conc_16S,conc_16S
504,4,Desmodium distortum,Rubona,1,5.7076983001981,510150.4806840375
505,4,Maize + Desmodium,Rubona,1,5.3772660764813995,238377.94773151673
506,4,Napier + Desmodium,Rubona,1,5.391488014564899,246313.38609993592
507,4,Brachiaria + Desmodium,Rubona,1,5.533716447444299,341756.2356803646
508,4,maize monoculture,Rubona,2,5.100596519887899,126065.57815286769
341,2,Napier + Desmodium,Karama,2,4.8471983591235,70339.35136092204
342,2,Brachiaria + Desmodium,Karama,2,6.113846906542901,1299711.3351019365
343,2,maize monoculture,Karama,3,6.075653408882801,1190291.7099893389
345,2,Brachiaria cv. Mulato II,Karama,3,6.2186152382266,1654303.6891114397
346,2,Desmodium distortum,Karama,3,6.1145533262407,1301827.1547879109
347,2,Maize + Desmodium,Karama,3,6.293073280099301,1963691.5897608618
348,2,Napier + Desmodium,Karama,3,6.008539543996701,1019857.6173384052
509,4,Napier grass,Rubona,2,5.418132514468301,261898.20053979932
510,4,Brachiaria cv. Mulato II,Rubona,2,5.636989635897801,433500.53310886363
511,4,Desmodium distortum,Rubona,2,5.5639892692961,366428.52068860235
512,4,Maize + Desmodium,Rubona,2,5.838183770517801,688943.7593345324
513,4,Napier + Desmodium,Rubona,2,5.6073907440660005,404940.0611109803
514,4,Brachiaria + Desmodium,Rubona,2,5.544507924720801,350354.6812856284
515,4,maize monoculture,Rubona,3,5.665711725959101,463139.3970954096
516,4,Napier grass,Rubona,3,5.5915904572486,390472.5038037889
517,4,Brachiaria cv. Mulato II,Rubona,3,5.8184976738777,658411.9034175422
518,4,Desmodium distortum,Rubona,3,5.6567390005916005,453668.89179586724
519,4,Maize + Desmodium,Rubona,3,5.8523430528032,711775.5290311142
520,4,Napier + Desmodium,Rubona,3,6.1660143643477,1465596.3149471378
521,4,Brachiaria + Desmodium,Rubona,3,5.785229187917101,609858.6497959885
522,4,maize monoculture,Rubona,4,5.5243899060134005,334495.2123099443
523,4,Napier grass,Rubona,4,5.621472311878801,418285.02035149274
524,4,Brachiaria cv. Mulato II,Rubona,4,5.8674448940535004,736961.6591915191
525,4,Desmodium distortum,Rubona,4,5.121666859102801,132332.6041853618
526,4,Maize + Desmodium,Rubona,4,5.6116103338135,408893.61956500966
527,4,Napier + Desmodium,Rubona,4,5.489906358949001,308962.91856946493
528,4,Brachiaria + Desmodium,Rubona,4,5.568503779120201,370257.4272721443
529,4,maize monoculture,Karama,1,5.635557366578101,432073.23701956315
530,4,Napier grass,Karama,1,6.052006778572901,1127215.0498822662
531,4,Brachiaria cv. Mulato II,Karama,1,5.7476419749326,559296.3368973299
532,4,Desmodium distortum,Karama,1,4.9622571040533,91676.30568658073
533,4,Maize + Desmodium,Karama,1,5.495544265246401,312999.94789269945
534,4,Napier + Desmodium,Karama,1,6.212105017402901,1629690.0628063797
535,4,Brachiaria + Desmodium,Karama,1,5.806182654182301,640003.9496985323
536,4,maize monoculture,Karama,2,6.096011550004801,1247416.688685078
537,4,Napier grass,Karama,2,5.9032780124598006,800346.4306987582
538,4,Brachiaria cv. Mulato II,Karama,2,5.824466374698201,667523.2158992644
539,4,Desmodium distortum,Karama,2,6.0101755676354,1023706.7517398351
540,4,Maize + Desmodium,Karama,2,5.604004115347501,401794.6182117147
541,4,Napier + Desmodium,Karama,2,6.054644147209801,1134081.1899115995
542,4,Brachiaria + Desmodium,Karama,2,6.1755076910113,1497985.7809517134
543,4,maize monoculture,Karama,3,6.117406406474801,1310407.6098480118
544,4,Napier grass,Karama,3,6.2489673785113,1774056.2198636036
546,4,Desmodium distortum,Karama,3,5.984760396328401,965518.0481406626
547,4,Maize + Desmodium,Karama,3,6.160491039491401,1447074.9962529605
548,4,Napier + Desmodium,Karama,3,6.1701109022624,1479486.1443210794
549,4,Brachiaria + Desmodium,Karama,3,5.827187932707801,671719.4639131296
550,4,maize monoculture,Karama,4,6.203235913944101,1596746.2833278251
551,4,Napier grass,Karama,4,6.2159723924354005,1644267.195854862
552,4,Brachiaria cv. Mulato II,Karama,4,6.243996036929601,1753864.4972170736
553,4,Desmodium distortum,Karama,4,6.2806426838289005,1908282.5713305417
554,4,Maize + Desmodium,Karama,4,6.145790730851901,1398913.079854551
555,4,Napier + Desmodium,Karama,4,6.2856748043236,1930522.218556138
556,4,Brachiaria + Desmodium,Karama,4,5.7119214450877,515135.4587770454
601,5,maize monoculture,Rubona,1,5.6282749662503,424888.48980891483
602,5,Napier grass,Rubona,1,5.980497966197101,956088.2176441547
603,5,Brachiaria cv. Mulato II,Rubona,1,5.912096802888901,816764.4053153812
604,5,Desmodium distortum,Rubona,1,5.892930806060101,781503.2817095947
605,5,Maize + Desmodium,Rubona,1,6.084688409782,1215313.745143561
606,5,Napier + Desmodium,Rubona,1,5.9059970813287,805373.0286802783
607,5,Brachiaria + Desmodium,Rubona,1,6.1425460824055005,1388500.6340543502
608,5,maize monoculture,Rubona,2,5.8213482623592006,662747.7505533153
609,5,Napier grass,Rubona,2,5.977785871101201,950136.2134791497
610,5,Brachiaria cv. Mulato II,Rubona,2,5.999015331615601,997735.2856006384
611,5,Desmodium distortum,Rubona,2,6.094263935550501,1242407.1313383156
612,5,Maize + Desmodium,Rubona,2,6.317638058556701,2077964.1878969937
613,5,Napier + Desmodium,Rubona,2,5.9755933795556,945351.634778682
614,5,Brachiaria + Desmodium,Rubona,2,6.0379027954343005,1091196.0756620392
615,5,maize monoculture,Rubona,3,6.052114885113901,1127495.6762618972
616,5,Napier grass,Rubona,3,6.234550536766901,1716131.3964861673
617,5,Brachiaria cv. Mulato II,Rubona,3,6.0018250673692,1004211.2152690479
618,5,Desmodium distortum,Rubona,3,5.9557453764583,903119.8262087198
619,5,Maize + Desmodium,Rubona,3,5.9485362059708,888252.024431046
621,5,Brachiaria + Desmodium,Rubona,3,5.799693357289501,630512.0010791343
622,5,maize monoculture,Rubona,4,6.0069732659237,1016186.1370818644
623,5,Napier grass,Rubona,4,6.0167784508354005,1039389.8006100507
624,5,Brachiaria cv. Mulato II,Rubona,4,5.8444742939849,698995.3618012966
625,5,Desmodium distortum,Rubona,4,5.876049963153201,751709.3690060492
626,5,Maize + Desmodium,Rubona,4,6.027570531714501,1065541.8992407613
627,5,Napier + Desmodium,Rubona,4,5.9015114643424,797097.5317934421
628,5,Brachiaria + Desmodium,Rubona,4,6.1160667995314,1306371.8078243323
629,5,maize monoculture,Karama,1,6.184887930240601,1530692.4152946821
630,5,Napier grass,Karama,1,6.317992762412401,2079662.0289117126
631,5,Brachiaria cv. Mulato II,Karama,1,6.2527789555241,1789694.7146141708
632,5,Desmodium distortum,Karama,1,6.148628366921301,1408083.3621688024
201,1,maize monoculture,Rubona,1,5.950979915868,893264.1733985924
244,1,Napier grass,Karama,3,6.404124236117401,2535853.943860614
331,2,Brachiaria cv. Mulato II,Karama,1,6.211975851622201,1629205.4402791408
344,2,Napier grass,Karama,3,6.255463469299201,1800791.6543963149
407,3,Brachiaria + Desmodium,Rubona,1,5.804485105759201,637507.2171862482
637,5,Napier grass,Karama,2,4.8201400352724,66090.6518421119
638,5,Brachiaria cv. Mulato II,Karama,2,4.710026809886401,51289.304495052056
639,5,Desmodium distortum,Karama,2,4.5342167505294,34215.01624481713
641,5,Napier + Desmodium,Karama,2,6.017023831963201,1039977.2331420534
642,5,Brachiaria + Desmodium,Karama,2,6.2498582374764,1777699.0383150862
643,5,maize monoculture,Karama,3,6.417820258804801,2617099.646597594
644,5,Napier grass,Karama,3,6.4292973930312005,2687183.9261283726
645,5,Brachiaria cv. Mulato II,Karama,3,5.968118773047601,929220.4799413659
646,5,Desmodium distortum,Karama,3,5.7315875844390005,538998.5345838083
647,5,Maize + Desmodium,Karama,3,5.972523466957801,938692.7572525394
648,5,Napier + Desmodium,Karama,3,5.8308292876254,677375.192788351
649,5,Brachiaria + Desmodium,Karama,3,6.046937566476001,1114134.3557929054
650,5,maize monoculture,Karama,4,6.2757494790516,1886902.5832689265
651,5,Napier grass,Karama,4,6.0969042301302006,1249983.3556503828
652,5,Brachiaria cv. Mulato II,Karama,4,6.1125850334106016,1295940.4134870984
653,5,Desmodium distortum,Karama,4,6.2843130536106,1924478.4558159828
654,5,Maize + Desmodium,Karama,4,6.2161734131664,1645028.4496018828
655,5,Napier + Desmodium,Karama,4,6.025228619004601,1059811.4787138836
656,5,Brachiaria + Desmodium,Karama,4,5.964203152192801,920880.2359647534
701,6,maize monoculture,Rubona,1,5.394347476146001,247940.50198273224
702,6,Napier grass,Rubona,1,5.4841802896632,304916.053192303
703,6,Brachiaria cv. Mulato II,Rubona,1,5.983624003431601,962994.9361767076
704,6,Desmodium distortum,Rubona,1,5.859953181574201,724357.8676180505
705,6,Maize + Desmodium,Rubona,1,5.912873097039,818225.6636792048
706,6,Napier + Desmodium,Rubona,1,5.947460744173801,886055.1296226756
707,6,Brachiaria + Desmodium,Rubona,1,5.646970677678,443578.6937549236
708,6,maize monoculture,Rubona,2,5.481519662014801,303053.7497607364
709,6,Napier grass,Rubona,2,5.725779801549601,531838.5351047673
710,6,Brachiaria cv. Mulato II,Rubona,2,6.095176960187401,1245021.8123511951
711,6,Desmodium distortum,Rubona,2,5.9573648117400015,906493.7450471757
712,6,Maize + Desmodium,Rubona,2,6.045124289774401,1109492.2929693053
713,6,Napier + Desmodium,Rubona,2,5.259029030086801,181563.70236032
714,6,Brachiaria + Desmodium,Rubona,2,5.720202052186801,525051.679713841
715,6,maize monoculture,Rubona,3,5.8331021190858,680929.4521819797
716,6,Napier grass,Rubona,3,5.4690262157448,294459.93761813
717,6,Brachiaria cv. Mulato II,Rubona,3,5.505778293378601,320463.2946988491
718,6,Desmodium distortum,Rubona,3,5.726535547854001,532764.8303832165
719,6,Maize + Desmodium,Rubona,3,5.7646942765140015,581693.5878808422
720,6,Napier + Desmodium,Rubona,3,5.7878378644296005,613532.9115804229
721,6,Brachiaria + Desmodium,Rubona,3,4.677321655229401,47568.74079324777
722,6,maize monoculture,Rubona,4,6.006158417273401,1014281.2968966642
723,6,Napier grass,Rubona,4,5.652520947249001,449283.9943832011
724,6,Brachiaria cv. Mulato II,Rubona,4,5.467774274959201,293612.3202003602
725,6,Desmodium distortum,Rubona,4,5.330031849246001,213811.88839820804
726,6,Maize + Desmodium,Rubona,4,5.1608769237252,144836.13390512386
727,6,Napier + Desmodium,Rubona,4,5.512787121138601,325677.0242123972
728,6,Brachiaria + Desmodium,Rubona,4,6.0146751702588,1034368.2235127498
729,6,maize monoculture,Karama,1,5.909527974699001,811947.5481420322
730,6,Napier grass,Karama,1,5.521723736739601,332448.0093011387
731,6,Brachiaria cv. Mulato II,Karama,1,6.0768156805188,1193481.4699512091
732,6,Desmodium distortum,Karama,1,6.035291471152801,1084654.6217895485
733,6,Maize + Desmodium,Karama,1,5.891154989637001,778314.2638076731
734,6,Napier + Desmodium,Karama,1,6.188875520565001,1544811.595238621
735,6,Brachiaria + Desmodium,Karama,1,6.0243202009644,1057596.9774723176
736,6,maize monoculture,Karama,2,5.8160558831328,654720.4152343987
737,6,Napier grass,Karama,2,5.747911661389201,559643.7543654754
738,6,Brachiaria cv. Mulato II,Karama,2,5.652747925686601,449518.86826870067
739,6,Desmodium distortum,Karama,2,6.387804230840401,2442329.363136674
740,6,Maize + Desmodium,Karama,2,6.399393328075201,2508379.99253082
741,6,Napier + Desmodium,Karama,2,6.145888678668601,1399228.616754349
742,6,Brachiaria + Desmodium,Karama,2,6.1164416203404,1307499.7675826612
743,6,maize monoculture,Karama,3,5.997645223666801,994592.6000238438
744,6,Napier grass,Karama,3,5.882783277335401,763454.7075201175
745,6,Brachiaria cv. Mulato II,Karama,3,6.109419051350401,1286527.4333474531
746,6,Desmodium distortum,Karama,3,6.1231685100792,1327909.598388702
747,6,Maize + Desmodium,Karama,3,6.149434823196601,1410700.509500318
748,6,Napier + Desmodium,Karama,3,6.167265301830001,1469823.8895241793
749,6,Brachiaria + Desmodium,Karama,3,6.069010392390601,1172223.4157729466
750,6,maize monoculture,Karama,4,6.332548885275001,2150546.73664555
751,6,Napier grass,Karama,4,5.9283253983396005,847862.443391824
752,6,Brachiaria cv. Mulato II,Karama,4,6.231445047976801,1703903.7078260945
753,6,Desmodium distortum,Karama,4,5.850620629107001,708958.1984724768
754,6,Maize + Desmodium,Karama,4,5.902742560661401,799360.2729664168
755,6,Napier + Desmodium,Karama,4,6.4515295104858,2828326.290434098
756,6,Brachiaria + Desmodium,Karama,4,5.968532015859001,930105.0788659139
401,3,maize monoculture,Rubona,1,5.2920151990546,195891.32286209377
633,5,Maize + Desmodium,Karama,1,5.835862856402,685271.7938620436
402,3,Napier grass,Rubona,1,5.4342619146611,271807.7995283517
450,3,maize monoculture,Karama,4,6.0381615883915,1091846.5053267593
403,3,Brachiaria cv. Mulato II,Rubona,1,5.8495643706094,707236.0185910916
404,3,Desmodium distortum,Rubona,1,5.5587666342398,362048.4014138536
405,3,Maize + Desmodium,Rubona,1,5.7064561571583,508693.46349418926
406,3,Napier + Desmodium,Rubona,1,5.7163912678103,520464.68628493726
250,1,maize monoculture,Karama,4,6.021307655948801,1050286.1921199076
253,1,Desmodium distortum,Karama,4,6.261051338060801,1824111.3182367275
302,2,Napier grass,Rubona,1,5.9863814436928005,969128.6746401249
356,2,Brachiaria + Desmodium,Karama,4,5.858097296272001,721269.04911331
545,4,Brachiaria cv. Mulato II,Karama,3,5.9934210563584,984965.584950684
620,5,Napier + Desmodium,Rubona,3,5.9633086393696,918985.4584078973
635,5,Brachiaria + Desmodium,Karama,1,6.0231370724608,1054719.7355658042
251,1,Napier grass,Karama,4,6.367345602,2335225.8789999997
